changeTeamBtnText|调整队伍
merchantsBtnText|商店
EquipRarityTextNORMAL|普通
EquipRarityTextGOOD|良好
EquipRarityTextRARE|稀有
EquipRarityTextLEGEND|史诗
sellItem|的卖出价格为
chanceBoxTip|你想用钥匙打开宝箱吗？ (你现在有#个钥匙）
Coins|金币
Credits|绿币
SalePrice|折扣价为
SuperNova|地狱
UnlockAtLevel|解锁级别为
UseableByAll|全部可用
UseableBy|适合人员：
BuyHero|购买#需要花^个%,是否购买？
isOnYourTeam|已经在你的队伍里！
dontHaveEnoughCoins|你没有足够的#，想得到一些吗？
restartString|请重新开始
NEXTLEVEL|下一关
Recharge|技能冷却药
ResurrectionPill|复活药
ChestBox|宝箱
ChestBoxKey|宝箱钥匙
Fuel|燃料
learnSkillPanelInfo|学习这个技能需要#。
CommChannel|无线电频道
LevelUp|升级
End|结束
Victory|胜利
Defeat|失败
NORMAL|普通
NOVA|噩梦
needmoreCreditstoupgradetheitem|你需要更多的绿币去升级装备。你现在想去购买绿币吗？
needmoreCoinstoupgradetheitem|你需要更多的金币去升级装备。你现在想去购买金币吗？
buyitemequipisfull|你的装备栏已满，你将不能购买任何装备，请扩大装备栏。
battlestartquipisfull|你的装备栏已满，你将不能获得任何装备或者购买任何装备，请扩大装备栏。
yourmoenyisnotenongh|你需要更多的金钱去购买这个装备
unlockLevel|你必须通关才能解锁这个难度。
Notenoughcoins|没有足够的金币。
Notenoughcredits|没有足够的绿币
Currentinternetconnectionisslow|当前的联网速度很慢，请耐心等待。
Downloadgameconfigfilefail|下载游戏配置文件出错，检查你的网络。
Downloadgameconfigfilefailreststartgame|下载游戏配置文件出错，请重启游戏。
Theinternetconnectionseemstobelost|联网已断开，请重试。
Anerroroccuredwhileexecutingyourrequest|未知错误，请重试
Savingdatatoserver|保存数据到服务器，稍等片刻。
Youcaneitherusethisskill|你可以使用这个技能或者#技能，但是这两个技能不能同时使用。
unlockSkillLv|这个技能在#级解锁
SkillLearned|技能已经学好。
Characterinterstitialvideoisstill|角色视频正在下载中，玩一会再过来看看。
Networkconnectionisneeded|需要联网下载游戏文件
getBoxKey|得到 # 个宝箱钥匙
notenoughfreespace|不能保存文件，请检查是否有足够的空余空间，点击确定按钮关闭游戏
RegularPrice|价格
Welcome|欢迎来到科幻英雄的世界
skilllearntimerday|剩#天，^小时。
skilllearntimerhour|剩#小时。
buyItemInNormal|完成普通难度才能购买这个物品
buyItemInNova|完成噩梦难度才能购买这个物品
buycreditsitem|这个物品将花费￥#元，是否要购买？
buyitembycoins|这个物品将花费#个金币，是否要购买？
buyitembycredits|这个物品将花费#个绿币，是否要购买？
Notenoughcoinsbuy|没有足够的金币，是否要购买一些？
Notenoughcreditsbuy|没有足够的绿币，是否要购买一些？
onlysupportGooglePlay|对不起，现在我们只支持谷歌商店，请确认是否安装了谷歌商店
renminbi|￥
planeName1|火焰星球
planeName2|寒冰星球
planeName3|潘多拉星球
planeName4|机械星球
WIZARD|眼镜宅
COWBOY|艾瑞 本尼迪克特
HEALER|夜莺
MARINE|萨基
TANK|山姆 巴尔加斯
TRAINER|索菲亚 阿格拉亚
PRIEST|佳比大师
DRUID|本 克瑞尔
Exp|经验
hour|小时
Minute|分
Second|秒
buy|买
openLearnDescription|你不能学习#技能，你需要先学习^技能。
resurrectionStep1|刚才发生了什么？你的一个英雄已经死了！点击屏幕上方的红色复活药水让他复活！
learnanewskill|你其中有一个英雄已经达到5级，你现在可以从队伍画面进入到学习技能画面从而学习一个新技能。
learnedanewskill|哇！看来你已经学会了一个新技能，到外面去揍他们吧！！
choosebetweentwo|你只能选择这个英雄两个被动技能的其中一个。
NowclickLearn|在你想学习的技能上点击学习按钮。
Hereyoucanchoosetotraintheskill|在这里你可以选择慢速训练技能或者立即学完技能。
YoufoundaSpoilsofWarChest|你现在找到了一个宝箱~用钥匙打开宝箱后可以得到大量金钱和稀有装备。当你到达5、10、15级时会分送别送你1、2、3把钥匙。
Yougotakey|你现在得到了把钥匙。去看看宝箱里有什么好东西吧！
Whatdoesthiskeyopen|这是一个宝箱钥匙，你可以去开一个宝箱了。
WEAPONS|武器
CURRENCY|货币
ARMORY|盔甲
TRINKETS|饰品
SUPPLIES|消耗品
SUPERNOVA|地狱
openchestboxequipisfull|你的装备栏已满，打开宝箱后得到的装备将不能收到，请扩大装备栏。
individual|个
dayRewardResurrectionPill|你得到#个复活药。
dayRewardCoins|你得到#个金币。
dayRewardCredits|你得到#个绿币。
ExpandTheEquipment|需要#^扩充装备栏，是否扩充？
WorldBossCount|你还有#次攻打世界BOSS机会。
WorldBossNotCount|你已经没有攻打世界BOSS机会。
nicknameissame|此昵称已经被占用。
nicknameisnull|请输入昵称。
